ID,Manchu,English,Source,Comment
749,juwan uyūnde amba cooha isinjifi.,On the nineteenth the bulk of the army arrived.
750,tese hūwang ho bira be jurcenjeme doome. dartai wajifi.,They crossed the Yellow River coming and going in opposite direction and completed quickly.
751,muse orin sunja ba yabufi ing iliha,We proceeded for 25 li and set up camp.
752,orin de jakūnju muse sunja ba yabufi. sin hiyang hiyan de ing iliha.,On the twentieth we proceeded for 85 li and camped in Xinxiang county.
753,booci mancang. gurbu jetere jaka gajime mimbe okdoko.,From home Mancang and Gurbu came to greet me bringing foods.
754,bi dobori amgaci ojorakū booi baita be fonjiha.,"I was not able to sleep at night, and asked about family affairs."
755,orin emude muse ninju ba yabufi. wei hui fude ing iliha.,On the twenty-first we proceeded for 60 li and set up camp in Weihuifu.
756,orin juwe de muse ki hiyan be duleme. jakūnju sunja ba yabufi.,"On the twenty-second we passed Qi county, covering 85 li"
757,bi jeo gurun-i cenghiyang bi g’an-i eifu be tuwanafi ,I went to see the tomb of Chengxiang Bigan of the kingdom of Zhou.
758,miyoo-i boigon-i oren de bi hengkilefi. ing iliha.,"After kneeling in front of the earthen statue of the temple, I set up the camp."
759,orin ilade muse i kio i be duleme ninju sunja ba yabufi. teng in hiyan de ing iliha.,"On the twenty-third we passed Yiqiu county and, after having covered 65 li, set up camp in Tengyin county."
760,orin duide muke akū seme. muse dehi ba yabufi,"On the twenty-fourth, because there was no water, we proceeded for 40 li "
761,muse jang de fude ing iliha.,We set up camp in Zhangde Fu.
762,orin sunjade nadanju ba yabufi. tsi jeo de ing iliha.,On the twenty-fifth we went on for 70 li and camped in Cizhou.
763,bi amba jiyangiyūn-i kūwaran be ilibuha.,I erected the encampment of the Field Marshal.
764,orin ninggun de muse nadanju ba yabufi. han dan hiyan de ing iliha.,On the twenty-sixth we covered 70 li and camped in the Handan county.
765,orin nadan de muse nadanju ba yabufi. da liyang diyan de ing iliha.,On the twenty-seventh we covered 70 li and camped overnight in Daliandian.
766,orin jakūn de muse dehi ba yabufi šun de fude ing iliha.,On the twenty-eighth we covered 40 li and camped overnight in Shunde Fu.
767,orin uyūn de dehi muse sunja ba yabufi. fiyanggū gung be acafi,"On the twenty-ninth, after covering 45 li, we met Duke Fiyanggu"
768,susai ba yabufi in dzun de iliha,"proceeded for 50 li, and stopped at Yincun"
769,dergici. beise de gocika morin juwe. amba jiyangiyūn de gocika morin juwe. mujan. gargan. hife sede morin emte. uheri janggin. cooha de amba adun-i morin ilan tanggū. temen gūsin okdoko.,"The emperor greeted by awarding two imperial horses each to the Beise and the Field Marshal, one regular horse each to Mujan, Gargan, Hife, and others, and a huge group of 300 horses and thirty camels from the imperial herd to officers and soldiers."
770,gemu morin akū niyalma de. hūsun gaisu seme,It was ordered to give the strong ones to the people without horses
771,mini beye dobori dulime baicafi. dendeme jakūn gūsa de buhe.,"I myself stayed up at night to supervise, and to distribute among the Eight Banners."
